,AvgL,AvgW,B365L,B365W,Best of,CBL,CBW,Comment,Court,Date,EXL,EXW,L1,L2,L3,LBL,LBW,LPts,LRank,Location,Loser,Lsets,MaxL,MaxW,PSL,PSW,Round,SJL,SJW,Surface,Tier,Tournament,UBL,UBW,W1,W2,W3,WPts,WRank,WTA,Winner,Wsets
12509,1.88,1.86,1.83,1.83,3,,,Completed,Indoor,2012-02-09,1.87,1.87,3.0,6.0,3.0,1.91,1.8,937.0,68.0,Paris,Mattek-Sands B.,1.0,2.05,1.97,1.93,1.97,2nd Round,1.83,1.83,Hard,Premier,Open Gaz de France,,,6.0,1.0,6.0,2210.0,23.0,6,Vinci R.,2.0
12510,1.62,2.23,1.57,2.25,3,,,Completed,Indoor,2012-02-09,1.6,2.25,0.0,3.0,,1.67,2.1,1191.0,50.0,Paris,Pironkova T.,0.0,1.7,2.45,1.68,2.33,2nd Round,1.62,2.25,Hard,Premier,Open Gaz de France,,,6.0,6.0,,1130.0,51.0,6,Zakopalova K.,2.0
12511,4.7,1.18,4.5,1.18,3,,,Completed,Indoor,2012-02-09,4.55,1.17,3.0,0.0,,4.33,1.2,986.0,62.0,Paris,Parmentier P.,0.0,5.81,1.22,5.81,1.17,2nd Round,4.0,1.22,Hard,Premier,Open Gaz de France,,,6.0,6.0,,1330.0,43.0,6,Barthel M.,2.0
12512,3.3,1.31,3.5,1.28,3,,,Completed,Indoor,2012-02-09,3.3,1.3,3.0,6.0,3.0,3.4,1.3,1725.0,32.0,Paris,Niculescu M.,1.0,3.8,1.4,3.48,1.36,2nd Round,2.88,1.4,Hard,Premier,Open Gaz de France,,,6.0,4.0,6.0,1965.0,27.0,6,Kerber A.,2.0
12513,6.33,1.11,6.5,1.11,3,,,Completed,Indoor,2012-02-09,7.0,1.08,5.0,1.0,,5.5,1.12,963.0,66.0,Paris,Martic P.,0.0,7.63,1.14,7.61,1.12,2nd Round,7.5,1.08,Hard,Premier,Open Gaz de France,,,7.0,6.0,,4770.0,7.0,6,Bartoli M.,2.0
12514,2.92,1.38,3.0,1.36,3,,,Completed,Indoor,2012-02-09,2.8,1.4,2.0,5.0,,2.75,1.4,1396.0,38.0,Paris,Mchale C.,0.0,3.37,1.46,3.37,1.38,2nd Round,3.0,1.36,Hard,Premier,Open Gaz de France,,,6.0,7.0,,1955.0,29.0,6,Wickmayer Y.,2.0
12515,1.35,3.12,1.3,3.4,3,,,Completed,Indoor,2012-02-10,1.35,3,6.0,5.0,1.0,1.33,3.25,2345.0,21.0,Paris,Goerges J.,1.0,1.53,3.4,1.43,3.14,Quarterfinals,1.53,2.5,Hard,Premier,Open Gaz de France,,,3.0,7.0,6.0,1130.0,51.0,6,Zakopalova K.,2.0
12516,1.15,5.14,1.14,5.5,3,,,Completed,Indoor,2012-02-10,1.16,4.75,4.0,4.0,,1.17,4.5,7560.0,3.0,Paris,Sharapova M.,0.0,1.2,7.0,1.18,5.84,Quarterfinals,1.1,7.0,Hard,Premier,Open Gaz de France,,,6.0,6.0,,1965.0,27.0,6,Kerber A.,2.0
12517,3.83,1.25,4.0,1.22,3,,,Completed,Indoor,2012-02-10,3.75,1.25,6.0,4.0,6.0,3.75,1.25,2210.0,23.0,Paris,Vinci R.,1.0,4.5,1.3,4.17,1.28,Quarterfinals,4.5,1.2,Hard,Premier,Open Gaz de France,,,4.0,6.0,7.0,4770.0,7.0,6,Bartoli M.,2.0
12518,1.57,2.35,1.53,2.37,3,,,Completed,Indoor,2012-02-10,1.55,2.35,4.0,7.0,3.0,1.57,2.25,1330.0,43.0,Paris,Barthel M.,1.0,1.62,2.58,1.58,2.57,Quarterfinals,1.62,2.25,Hard,Premier,Open Gaz de France,,,6.0,6.0,6.0,1955.0,29.0,6,Wickmayer Y.,2.0
12519,3.23,1.33,3.25,1.33,3,,,Completed,Indoor,2012-02-11,3.3,1.3,6.0,0.0,,3.0,1.36,1130.0,51.0,Paris,Zakopalova K.,0.0,3.97,1.42,3.19,1.42,Semifinals,3.25,1.33,Hard,Premier,Open Gaz de France,,,7.0,6.0,,4770.0,7.0,6,Bartoli M.,2.0
12520,2.15,1.67,2.1,1.66,3,,,Completed,Indoor,2012-02-11,2.15,1.65,7.0,3.0,4.0,2.1,1.67,1955.0,29.0,Paris,Wickmayer Y.,1.0,2.3,1.75,2.25,1.74,Semifinals,2.25,1.62,Hard,Premier,Open Gaz de France,,,6.0,6.0,6.0,1965.0,27.0,6,Kerber A.,2.0
12521,1.61,2.26,1.61,2.25,3,,,Completed,Indoor,2012-02-12,1.6,2.25,6.0,7.0,3.0,1.53,2.38,4770.0,7.0,Paris,Bartoli M.,1.0,1.69,2.38,1.69,2.34,The Final,1.62,2.25,Hard,Premier,Open Gaz de France,,,7.0,5.0,6.0,1965.0,27.0,6,Kerber A.,2.0
12522,3.17,1.33,3.25,1.33,3,,,Completed,Outdoor,2012-02-06,3.0,1.35,4.0,0.0,,3.0,1.36,683.0,95.0,Pattaya,Bremond I.,0.0,3.7,1.4,3.7,1.32,1st Round,3.0,1.33,Hard,International,Pattaya Women's Open,,,6.0,6.0,,655.0,98.0,7,Rodionova An.,2.0
12523,6.67,1.1,8.0,1.08,3,,,Completed,Outdoor,2012-02-06,6.5,1.1,2.0,2.0,,6.0,1.11,490.0,138.0,Pattaya,Sema E.,0.0,8.0,1.14,7.14,1.13,1st Round,7.0,1.1,Hard,International,Pattaya Women's Open,,,6.0,6.0,,1091.0,54.0,7,Cirstea S.,2.0
12524,2.99,1.37,3.0,1.36,3,,,Completed,Outdoor,2012-02-07,3.0,1.35,1.0,5.0,,3.25,1.33,40.0,627.0,Pattaya,Zhou Y.M.,0.0,3.31,1.47,3.09,1.42,1st Round,2.88,1.4,Hard,International,Pattaya Women's Open,,,6.0,7.0,,631.0,100.0,7,Kudryavtseva A.,2.0
12525,1.61,2.24,1.57,2.25,3,,,Completed,Outdoor,2012-02-07,1.55,2.35,1.0,3.0,,1.62,2.2,358.0,181.0,Pattaya,Lertcheewakarn N.,0.0,1.75,2.58,1.64,2.38,1st Round,1.67,2.1,Hard,International,Pattaya Women's Open,,,6.0,6.0,,512.0,130.0,7,Doi M.,2.0
12526,14.57,1.02,21.0,1.01,3,,,Completed,Outdoor,2012-02-07,10.54,1.02,2.0,5.0,,11.0,1.02,282.0,218.0,Pattaya,Wongteanchai V.,0.0,24.68,1.03,15.56,1.03,1st Round,11.0,1.02,Hard,International,Pattaya Women's Open,,,6.0,7.0,,4695.0,8.0,7,Zvonareva V.,2.0
12527,2.22,1.62,2.25,1.57,3,,,Completed,Outdoor,2012-02-07,2.15,1.65,5.0,1.0,,2.2,1.62,793.0,81.0,Pattaya,Daniilidou E.,0.0,2.34,1.76,2.24,1.71,1st Round,2.2,1.62,Hard,International,Pattaya Women's Open,,,7.0,6.0,,601.0,110.0,7,Chang K.C.,2.0
12528,3.02,1.36,3.25,1.33,3,,,Completed,Outdoor,2012-02-07,3.0,1.35,4.0,2.0,,2.75,1.4,614.0,106.0,Pattaya,Watson H.,0.0,3.5,1.41,3.34,1.38,1st Round,2.75,1.4,Hard,International,Pattaya Women's Open,,,6.0,6.0,,1000.0,59.0,7,King V.,2.0
12529,1.24,3.82,1.2,4.33,3,,,Retired,Outdoor,2012-02-07,1.23,3.83,3.0,2.0,,1.25,3.75,1258.0,46.0,Pattaya,Voskoboeva G.,0.0,1.3,4.42,1.25,4.34,1st Round,1.29,3.25,Hard,International,Pattaya Women's Open,,,6.0,4.0,,692.0,94.0,7,Tanasugarn T.,1.0
12530,1.52,2.46,1.5,2.5,3,,,Retired,Outdoor,2012-02-07,1.55,2.35,2.0,,,1.5,2.5,560.0,118.0,Pattaya,Robson L.,0.0,1.6,2.63,1.59,2.49,1st Round,1.5,2.5,Hard,International,Pattaya Women's Open,,,5.0,,,611.0,107.0,7,Amanmuradova A.,0.0
12531,7.1,1.08,8.0,1.08,3,,,Completed,Outdoor,2012-02-07,8.0,1.06,1.0,1.0,,7.5,1.07,128.0,355.0,Pattaya,Lertpitaksinchai N.,0.0,8.33,1.13,8.33,1.1,1st Round,6.0,1.1,Hard,International,Pattaya Women's Open,,,6.0,6.0,,825.0,78.0,7,Date Krumm K.,2.0
12532,1.24,3.93,1.2,4.33,3,,,Completed,Outdoor,2012-02-07,1.21,4.04,4.0,1.0,,1.12,5.5,2635.0,16.0,Pattaya,Cibulkova D.,0.0,1.33,5.5,1.24,4.52,1st Round,1.22,3.75,Hard,International,Pattaya Women's Open,,,6.0,6.0,,727.0,88.0,7,Keothavong A.,2.0
12533,1.11,6.02,1.1,7.0,3,,,Completed,Outdoor,2012-02-07,1.13,5.5,3.0,2.0,,1.12,5.5,1685.0,35.0,Pattaya,Zheng J.,0.0,1.14,7.25,1.13,6.97,1st Round,1.13,5.5,Hard,International,Pattaya Women's Open,,,6.0,6.0,,414.0,159.0,7,Hsieh S.W.,2.0
12534,1.42,2.77,1.4,2.75,3,,,Completed,Outdoor,2012-02-07,1.4,2.8,6.0,1.0,2.0,1.36,3.0,975.0,64.0,Pattaya,Morita A.,1.0,1.48,3.0,1.47,2.88,1st Round,1.44,2.63,Hard,International,Pattaya Women's Open,,,3.0,6.0,6.0,592.0,111.0,7,Mirza S.,2.0
12535,11.71,1.03,19.0,1.02,3,,,Completed,Outdoor,2012-02-07,9.0,1.04,2.0,0.0,,10.0,1.03,86.0,437.0,Pattaya,Wannasuk N.,0.0,19.0,1.06,18.68,1.03,1st Round,10.0,1.03,Hard,International,Pattaya Women's Open,,,6.0,6.0,,2450.0,20.0,7,Hantuchova D.,2.0
12536,3.94,1.23,4.0,1.22,3,,,Completed,Outdoor,2012-02-07,4.0,1.22,6.0,6.0,3.0,4.0,1.22,625.0,103.0,Pattaya,Dellacqua C.,1.0,4.48,1.28,4.25,1.26,1st Round,3.5,1.25,Hard,International,Pattaya Women's Open,,,4.0,7.0,6.0,1990.0,26.0,7,Kirilenko M.,2.0
12537,3.61,1.27,3.75,1.25,3,,,Completed,Outdoor,2012-02-07,3.3,1.3,4.0,1.0,,3.75,1.25,482.0,140.0,Pattaya,Pivovarova A.,0.0,4.0,1.33,3.9,1.29,1st Round,3.5,1.25,Hard,International,Pattaya Women's Open,,,6.0,6.0,,755.0,85.0,7,Radwanska U.,2.0
12538,1.59,2.3,1.53,2.37,3,,,Completed,Outdoor,2012-02-08,1.54,2.34,6.0,3.0,,1.62,2.2,601.0,110.0,Pattaya,Chang K.C.,0.0,1.7,2.53,1.65,2.39,2nd Round,1.53,2.38,Hard,International,Pattaya Women's Open,,,7.0,6.0,,692.0,94.0,7,Tanasugarn T.,2.0
12539,5.09,1.15,5.5,1.14,3,,,Completed,Outdoor,2012-02-08,4.8,1.16,2.0,2.0,,4.5,1.17,512.0,130.0,Pattaya,Doi M.,0.0,6.02,1.18,6.02,1.17,2nd Round,4.5,1.17,Hard,International,Pattaya Women's Open,,,6.0,6.0,,1091.0,54.0,7,Cirstea S.,2.0
12540,6.62,1.1,7.0,1.1,3,,,Completed,Outdoor,2012-02-08,5.78,1.11,3.0,3.0,,7.0,1.08,611.0,107.0,Pattaya,Amanmuradova A.,0.0,8.6,1.13,8.6,1.1,2nd Round,6.0,1.1,Hard,International,Pattaya Women's Open,,,6.0,6.0,,4695.0,8.0,7,Zvonareva V.,2.0
12541,2.86,1.39,2.75,1.4,3,,,Completed,Outdoor,2012-02-08,2.8,1.4,6.0,3.0,6.0,2.75,1.4,655.0,98.0,Pattaya,Rodionova An.,1.0,3.2,1.44,3.11,1.42,2nd Round,2.75,1.4,Hard,International,Pattaya Women's Open,,,2.0,6.0,7.0,1990.0,26.0,7,Kirilenko M.,2.0
12542,1.62,2.22,1.66,2.1,3,,,Completed,Outdoor,2012-02-09,1.65,2.15,4.0,5.0,,1.62,2.2,727.0,88.0,Pattaya,Keothavong A.,0.0,1.67,2.45,1.65,2.4,2nd Round,1.67,2.1,Hard,International,Pattaya Women's Open,,,6.0,7.0,,592.0,111.0,7,Mirza S.,2.0
12543,3.88,1.24,4.0,1.22,3,,,Completed,Outdoor,2012-02-09,3.75,1.25,1.0,3.0,,3.5,1.29,631.0,100.0,Pattaya,Kudryavtseva A.,0.0,4.48,1.3,4.43,1.25,2nd Round,4.0,1.2,Hard,International,Pattaya Women's Open,,,6.0,6.0,,1000.0,59.0,7,King V.,2.0
12544,1.67,2.13,1.72,2.0,3,,,Completed,Outdoor,2012-02-09,1.75,2,5.0,0.0,,1.67,2.1,825.0,78.0,Pattaya,Date Krumm K.,0.0,1.8,2.35,1.73,2.24,2nd Round,1.57,2.25,Hard,International,Pattaya Women's Open,,,7.0,6.0,,414.0,159.0,7,Hsieh S.W.,2.0
12545,4.44,1.19,4.33,1.2,3,,,Completed,Outdoor,2012-02-09,4.0,1.22,3.0,2.0,,4.33,1.2,755.0,85.0,Pattaya,Radwanska U.,0.0,5.25,1.23,5.18,1.2,2nd Round,4.5,1.17,Hard,International,Pattaya Women's Open,,,6.0,6.0,,2450.0,20.0,7,Hantuchova D.,2.0
12546,1.91,1.84,1.9,1.8,3,,,Completed,Outdoor,2012-02-10,1.95,1.8,5.0,3.0,,1.91,1.8,592.0,111.0,Pattaya,Mirza S.,0.0,2.1,2.0,1.93,2.0,Quarterfinals,2.1,1.73,Hard,International,Pattaya Women's Open,,,7.0,6.0,,414.0,159.0,7,Hsieh S.W.,2.0
12547,1.36,3.03,1.33,3.25,3,,,Retired,Outdoor,2012-02-10,1.4,2.8,6.0,4.0,2.0,1.33,3.25,4695.0,8.0,Pattaya,Zvonareva V.,1.0,1.42,3.35,1.4,3.28,Quarterfinals,1.36,3.0,Hard,International,Pattaya Women's Open,,,2.0,6.0,2.0,1091.0,54.0,7,Cirstea S.,1.0
12548,2.56,1.48,2.75,1.4,3,,,Completed,Outdoor,2012-02-10,2.59,1.45,6.0,1.0,,2.5,1.5,692.0,94.0,Pattaya,Tanasugarn T.,0.0,2.95,1.56,2.92,1.48,Quarterfinals,2.5,1.53,Hard,International,Pattaya Women's Open,,,7.0,6.0,,1990.0,26.0,7,Kirilenko M.,2.0
12549,2.75,1.42,2.75,1.4,3,,,Completed,Outdoor,2012-02-10,2.65,1.45,6.0,4.0,,2.75,1.4,1000.0,59.0,Pattaya,King V.,0.0,3.0,1.53,2.74,1.53,Quarterfinals,3.0,1.36,Hard,International,Pattaya Women's Open,,,7.0,6.0,,2450.0,20.0,7,Hantuchova D.,2.0
12550,1.75,2.01,1.66,2.1,3,,,Completed,Outdoor,2012-02-11,1.75,2,2.0,7.0,4.0,1.73,2.0,1091.0,54.0,Pattaya,Cirstea S.,1.0,1.84,2.2,1.84,2.1,Semifinals,1.67,2.2,Hard,International,Pattaya Women's Open,,,6.0,5.0,6.0,1990.0,26.0,7,Kirilenko M.,2.0
12551,4.16,1.21,4.5,1.18,3,,,Completed,Outdoor,2012-02-11,4.0,1.22,4.0,1.0,,4.0,1.22,414.0,159.0,Pattaya,Hsieh S.W.,0.0,4.7,1.28,4.18,1.28,Semifinals,4.5,1.2,Hard,International,Pattaya Women's Open,,,6.0,6.0,,2450.0,20.0,7,Hantuchova D.,2.0
12552,2.45,1.53,2.5,1.53,3,,,Completed,Outdoor,2012-02-12,2.5,1.5,7.0,3.0,3.0,2.62,1.5,1990.0,26.0,Pattaya,Kirilenko M.,1.0,2.65,1.83,2.48,1.62,The Final,1.91,1.83,Hard,International,Pattaya Women's Open,,,6.0,6.0,6.0,2450.0,20.0,7,Hantuchova D.,2.0
12553,1.49,2.53,1.5,2.5,3,,,Completed,Outdoor,2012-02-13,1.5,2.5,1.0,6.0,6.0,1.5,2.5,660.0,99.0,Bogota,Mayr P.,1.0,1.57,2.75,1.57,2.55,1st Round,1.44,2.63,Clay,International,Copa BBVA Colsanitas,,,6.0,3.0,7.0,369.0,174.0,8,Arruabarrena-Vecino L.,2.0
12554,1.55,2.36,1.5,2.5,3,,,Completed,Outdoor,2012-02-13,1.6,2.25,6.0,6.0,5.0,1.53,2.38,851.0,71.0,Bogota,Johansson M.,1.0,1.7,2.55,1.7,2.26,1st Round,1.5,2.5,Clay,International,Copa BBVA Colsanitas,,,7.0,3.0,7.0,578.0,116.0,8,Savinykh V.,2.0
12555,3.5,1.28,3.75,1.25,3,,,Completed,Outdoor,2012-02-13,3.3,1.3,6.0,4.0,5.0,3.25,1.33,458.0,146.0,Bogota,Luzhanska T.,1.0,3.92,1.35,3.92,1.29,1st Round,3.25,1.29,Clay,International,Copa BBVA Colsanitas,,,3.0,6.0,7.0,327.0,193.0,8,Duque Marino M.,2.0
12556,5.02,1.16,6.0,1.12,3,,,Completed,Outdoor,2012-02-13,5.0,1.15,3.0,4.0,,4.5,1.17,93.0,423.0,Bogota,Castiblanco K.,0.0,6.0,1.21,5.39,1.19,1st Round,5.0,1.14,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,379.0,171.0,8,Rampre P.,2.0
12557,4.58,1.18,4.5,1.18,3,,,Completed,Outdoor,2012-02-14,5.0,1.15,0.0,1.0,,4.0,1.22,90.0,427.0,Bogota,Lizarazo Y.,0.0,5.75,1.22,5.38,1.19,1st Round,4.0,1.2,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,512.0,133.0,8,Babos T.,2.0
12558,3.5,1.29,3.4,1.3,3,,,Completed,Outdoor,2012-02-14,3.3,1.3,2.0,2.0,,3.25,1.33,607.0,111.0,Bogota,Cadantu A.,0.0,4.1,1.33,4.1,1.27,1st Round,3.0,1.33,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,979.0,64.0,8,Oprandi R.,2.0
12559,4.07,1.22,4.33,1.2,3,,,Completed,Outdoor,2012-02-14,4.0,1.22,6.0,2.0,4.0,4.0,1.22,349.0,184.0,Bogota,Woerle K.,1.0,4.7,1.26,4.33,1.25,1st Round,3.75,1.22,Clay,International,Copa BBVA Colsanitas,,,1.0,6.0,6.0,924.0,68.0,8,Dulko G.,2.0
12560,4.62,1.18,4.5,1.18,3,,,Completed,Outdoor,2012-02-14,4.25,1.2,2.0,2.0,,4.0,1.22,318.0,197.0,Bogota,Fichman S.,0.0,5.5,1.22,5.39,1.19,1st Round,3.75,1.22,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,846.0,72.0,8,Dominguez Lino L.,2.0
12561,2.07,1.71,2.2,1.61,3,,,Completed,Outdoor,2012-02-14,2.25,1.6,4.0,1.0,,2.0,1.73,416.0,161.0,Bogota,Cohen J.,0.0,2.31,1.83,2.07,1.83,1st Round,2.1,1.67,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,531.0,128.0,8,Gallovits E.,2.0
12562,1.23,4.01,1.18,4.5,3,,,Completed,Outdoor,2012-02-14,1.25,3.75,2.0,2.0,,1.22,4.0,1130.0,53.0,Bogota,Dulgheru A.,0.0,1.29,4.5,1.29,3.98,1st Round,1.22,3.75,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,428.0,157.0,8,Knapp K.,2.0
12563,3.21,1.33,3.25,1.33,3,,,Completed,Outdoor,2012-02-14,3.0,1.35,0.0,6.0,4.0,3.25,1.33,414.0,162.0,Bogota,Cabeza-Candela E.,1.0,3.75,1.36,3.62,1.33,1st Round,2.88,1.36,Clay,International,Copa BBVA Colsanitas,,,6.0,3.0,6.0,299.0,206.0,8,Shvedova Y.,2.0
12564,1.41,2.83,1.4,2.75,3,,,Completed,Outdoor,2012-02-14,1.45,2.65,7.0,0.0,3.0,1.44,2.62,506.0,135.0,Bogota,Karatantcheva S.,1.0,1.49,3.11,1.43,3.05,1st Round,1.4,2.75,Clay,International,Copa BBVA Colsanitas,,,5.0,6.0,6.0,223.0,245.0,8,Castano C.,2.0
12565,2.06,1.72,2.1,1.66,3,,,Completed,Outdoor,2012-02-14,2.08,1.7,6.0,6.0,1.0,2.0,1.73,677.0,95.0,Bogota,Minella M.,1.0,2.2,1.8,2.16,1.76,1st Round,2.0,1.73,Clay,International,Copa BBVA Colsanitas,,,4.0,7.0,6.0,572.0,118.0,8,Panova A.,2.0
12566,2.0,1.76,2.0,1.72,3,,,Completed,Outdoor,2012-02-14,2.0,1.75,2.0,4.0,,2.0,1.73,254.0,231.0,Bogota,Ferrer Suarez I,0.0,2.1,1.89,2.0,1.89,1st Round,2.0,1.73,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,611.0,110.0,8,Birnerova E.,2.0
12567,1.78,1.98,1.66,2.1,3,,,Completed,Outdoor,2012-02-15,1.85,1.9,3.0,4.0,,1.83,1.83,540.0,126.0,Bogota,Voegele S.,0.0,1.85,2.18,1.75,2.18,1st Round,1.8,1.91,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,1067.0,58.0,8,Erakovic M.,2.0
12568,2.39,1.55,2.5,1.5,3,,,Completed,Outdoor,2012-02-15,2.35,1.55,6.0,3.0,4.0,2.38,1.53,824.0,76.0,Bogota,Dokic J.,1.0,2.59,1.63,2.59,1.56,1st Round,2.38,1.53,Clay,International,Copa BBVA Colsanitas,,,4.0,6.0,6.0,484.0,141.0,8,Ormaechea P.,2.0
12569,1.34,3.13,1.33,3.25,3,,,Completed,Outdoor,2012-02-15,1.3,3.3,6.0,4.0,,1.36,3.0,979.0,64.0,Bogota,Oprandi R.,0.0,1.4,3.46,1.39,3.29,2nd Round,1.33,3.0,Clay,International,Copa BBVA Colsanitas,,,7.0,6.0,,512.0,133.0,8,Babos T.,2.0
12570,1.73,2.04,1.8,1.9,3,,,Completed,Outdoor,2012-02-15,1.75,2,4.0,0.0,,1.67,2.1,611.0,110.0,Bogota,Birnerova E.,0.0,1.8,2.25,1.78,2.16,2nd Round,1.73,2.0,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,369.0,174.0,8,Arruabarrena-Vecino L.,2.0
12571,3.21,1.33,3.25,1.33,3,,,Completed,Outdoor,2012-02-15,3.0,1.35,2.0,2.0,,3.25,1.33,578.0,116.0,Bogota,Savinykh V.,0.0,3.57,1.36,3.46,1.36,2nd Round,3.0,1.33,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,299.0,206.0,8,Shvedova Y.,2.0
12572,1.31,3.35,1.3,3.4,3,,,Completed,Outdoor,2012-02-15,1.35,3,6.0,2.0,5.0,1.29,3.5,846.0,72.0,Bogota,Dominguez Lino L.,1.0,1.35,3.78,1.32,3.78,2nd Round,1.33,3.0,Clay,International,Copa BBVA Colsanitas,,,4.0,6.0,7.0,327.0,193.0,8,Duque Marino M.,2.0
12573,1.55,2.37,1.53,2.37,3,,,Completed,Outdoor,2012-02-16,1.5,2.5,5.0,2.0,,1.53,2.38,924.0,68.0,Bogota,Dulko G.,0.0,1.69,2.55,1.68,2.34,2nd Round,1.53,2.38,Clay,International,Copa BBVA Colsanitas,,,7.0,6.0,,572.0,118.0,8,Panova A.,2.0
12574,1.39,2.9,1.4,2.75,3,,,Completed,Outdoor,2012-02-16,1.4,2.8,4.0,4.0,,1.36,3.0,1067.0,58.0,Bogota,Erakovic M.,0.0,1.43,3.11,1.43,3.05,2nd Round,1.33,3.0,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,531.0,128.0,8,Gallovits E.,2.0
12575,2.73,1.43,2.62,1.44,3,,,Completed,Outdoor,2012-02-16,2.65,1.45,3.0,6.0,2.0,2.75,1.4,223.0,245.0,Bogota,Castano C.,1.0,2.96,1.5,2.88,1.48,2nd Round,2.75,1.4,Clay,International,Copa BBVA Colsanitas,,,6.0,2.0,6.0,428.0,157.0,8,Knapp K.,2.0
12576,4.31,1.2,4.33,1.2,3,,,Completed,Outdoor,2012-02-16,4.0,1.22,4.0,6.0,6.0,3.75,1.25,379.0,171.0,Bogota,Rampre P.,1.0,5.22,1.25,5.22,1.2,2nd Round,3.75,1.22,Clay,International,Copa BBVA Colsanitas,,,6.0,3.0,7.0,484.0,141.0,8,Ormaechea P.,2.0
12577,1.55,2.38,1.53,2.37,3,,,Completed,Outdoor,2012-02-17,1.55,2.35,4.0,4.0,,1.53,2.38,299.0,206.0,Bogota,Shvedova Y.,0.0,1.67,2.55,1.66,2.4,Quarterfinals,1.53,2.5,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,512.0,133.0,8,Babos T.,2.0
12578,2.1,1.69,2.1,1.66,3,,,Completed,Outdoor,2012-02-17,2.0,1.75,4.0,4.0,,2.1,1.67,428.0,157.0,Bogota,Knapp K.,0.0,2.33,1.75,2.32,1.7,Quarterfinals,2.1,1.73,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,572.0,118.0,8,Panova A.,2.0
12579,1.77,1.99,1.72,2.0,3,,,Completed,Outdoor,2012-02-17,1.7,2.08,6.0,6.0,2.0,1.8,1.91,327.0,193.0,Bogota,Duque Marino M.,1.0,1.85,2.09,1.85,2.09,Quarterfinals,1.8,2.0,Clay,International,Copa BBVA Colsanitas,,,7.0,3.0,6.0,531.0,128.0,8,Gallovits E.,2.0
12580,1.52,2.48,1.5,2.5,3,,,Completed,Outdoor,2012-02-17,1.55,2.35,3.0,0.0,,1.53,2.38,484.0,141.0,Bogota,Ormaechea P.,0.0,1.57,2.67,1.55,2.67,Quarterfinals,1.53,2.5,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,369.0,174.0,8,Arruabarrena-Vecino L.,2.0
12581,1.88,1.86,1.8,1.9,3,,,Completed,Outdoor,2012-02-18,1.85,1.9,2.0,3.0,,1.83,1.83,512.0,133.0,Bogota,Babos T.,0.0,2.06,2.0,2.06,1.87,Semifinals,1.9,1.9,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,572.0,118.0,8,Panova A.,2.0
12582,1.88,1.86,1.8,1.9,3,,,Completed,Outdoor,2012-02-18,1.9,1.85,4.0,3.0,,1.83,1.83,531.0,128.0,Bogota,Gallovits E.,0.0,2.11,2.1,2.11,1.83,Semifinals,1.73,2.1,Clay,International,Copa BBVA Colsanitas,,,6.0,6.0,,369.0,174.0,8,Arruabarrena-Vecino L.,2.0
12583,1.7,2.12,1.66,2.2,3,,,Completed,Outdoor,2012-02-19,1.7,2.05,2.0,5.0,,1.73,2.1,572.0,118.0,Bogota,Panova A.,0.0,2.4,2.28,1.72,2.28,The Final,1.73,2.1,Clay,International,Copa BBVA Colsanitas,,,6.0,7.0,,369.0,174.0,8,Arruabarrena-Vecino L.,2.0
12584,11.4,1.03,19.0,1.02,3,,,Completed,Outdoor,2012-02-13,9.0,1.04,0.0,0.0,,9.0,1.04,143.0,334.0,Doha,Lalami N.,0.0,19.12,1.07,13.29,1.04,1st Round,10.0,1.03,Hard,Premier,Qatar Total Open,,,6.0,6.0,,1470.0,37.0,9,Peer S.,2.0
12585,2.19,1.64,2.37,1.53,3,,,Completed,Outdoor,2012-02-13,2.15,1.65,5.0,2.0,,2.1,1.67,715.0,91.0,Doha,Dushevina V.,0.0,2.43,1.7,2.33,1.67,1st Round,2.1,1.67,Hard,Premier,Qatar Total Open,,,7.0,6.0,,724.0,90.0,9,Bondarenko K.,2.0
12586,2.05,1.73,2.1,1.66,3,,,Completed,Outdoor,2012-02-13,2.0,1.75,6.0,6.0,,2.2,1.62,1207.0,47.0,Doha,Paszek T.,0.0,2.55,1.82,2.09,1.81,1st Round,2.1,1.67,Hard,Premier,Qatar Total Open,,,7.0,7.0,,739.0,89.0,9,Keothavong A.,2.0
12587,1.34,3.13,1.36,3.0,3,,,Completed,Outdoor,2012-02-13,1.35,3,6.0,2.0,3.0,1.36,3.0,2735.0,15.0,Doha,Pavlyuchenkova A.,1.0,1.4,3.5,1.38,3.27,1st Round,1.36,2.88,Hard,Premier,Qatar Total Open,,,1.0,6.0,6.0,1315.0,44.0,9,Pervak K.,2.0
